gmDate,seasTyp,teamAbbr,teamConf,teamDiv,teamLoc,teamRslt,teamPTS,teamAST,teamTO,teamSTL,teamBLK,teamPF,teamFGA,teamFGM,teamFG%,team2PA,team2PM,team2P%,team3PA,team3PM,team3P%,teamFTA,teamFTM,teamFT%,teamORB,teamDRB,teamTRB,teamTREB%,teamASST%,teamTS%,teamEFG%,teamOREB%,teamDREB%,teamTO%,teamSTL%,teamBLK%,teamBLKR,teamPPS,teamFIC,teamFIC40,teamOrtg,teamDrtg,teamEDiff,teamPlay%,teamAR,teamAST/TO,teamSTL/TO,opptAbbr,opptConf,opptDiv,opptPTS,opptAST,opptTO,opptSTL,opptBLK,opptPF,opptFGA,opptFGM,opptFG%,oppt2PA,oppt2PM,oppt2P%,oppt3PA,oppt3PM,oppt3P%,opptFTA,opptFTM,opptFT%,opptORB,opptDRB,opptTRB,opptTREB%,opptASST%,opptTS%,opptEFG%,opptOREB%,opptDREB%,opptTO%,opptSTL%,opptBLK%,opptBLKR,opptPPS,opptFIC,opptFIC40,opptOrtg,opptDrtg,opptEDiff,opptPlay%,opptAR,opptAST/TO,opptSTL/TO
2017-10-18,Regular,PHO,West,Pacific,Home,Loss,76,10,16,9,8,22,89,28,0.3146,62,21,0.3387,27,7,0.2593,18,13,0.7222,10,23,33,36.6667,35.7143,0.3921,0.3539,19.2308,60.5263,14.1693,9.0261,8.0232,12.9032,0.8539,29.75,24.6888,76.2205,124.3598,-48.1393,0.2947,8.1354,0.625,56.25,POR,West,Northwest,124,22,18,8,7,20,90,44,0.4889,66,30,0.4545,24,14,0.5833,28,22,0.7857,15,42,57,63.3333,50,0.6059,0.5667,26.3158,73.6842,14.9601,8.0232,7.0203,10.6061,1.3778,101.5,83.8843,124.3598,76.2205,48.1393,0.4731,15.4581,1.2222,44.4444
2017-10-18,Regular,HOU,West,Southwest,Away,Win,105,19,16,7,3,14,83,33,0.3976,38,21,0.5526,45,12,0.2667,29,27,0.931,12,32,44,51.1628,57.5758,0.5482,0.4699,26.6667,78.0488,14.3164,7.1601,3.0686,7.8947,1.2651,73.875,61.5625,107.4016,102.2872,5.1144,0.3793,14.5304,1.1875,43.75,SAC,West,Pacific,100,19,18,5,4,20,88,42,0.4773,65,34,0.5231,23,8,0.3478,10,8,0.8,9,33,42,48.8372,45.2381,0.5411,0.5227,21.4286,78.5714,16.3043,5.1144,4.0915,6.1538,1.1364,64,52.8926,102.2872,107.4016,-5.1144,0.433,14.6832,1.0556,27.7778
2017-10-18,Regular,SAC,West,Pacific,Home,Loss,100,19,18,5,4,20,88,42,0.4773,65,34,0.5231,23,8,0.3478,10,8,0.8,9,33,42,48.8372,45.2381,0.5411,0.5227,21.9512,73.3333,16.3043,5.1144,4.0915,6.1538,1.1364,64,52.8926,102.2872,107.4016,-5.1144,0.433,14.6832,1.0556,27.7778,HOU,West,Southwest,105,19,16,7,3,14,83,33,0.3976,38,21,0.5526,45,12,0.2667,29,27,0.931,12,32,44,51.1628,57.5758,0.5482,0.4699,27.2727,72.7273,14.3164,7.1601,3.0686,7.8947,1.2651,73.875,61.5625,107.4016,102.2872,5.1144,0.3793,14.5304,1.1875,43.75
2017-10-19,Regular,CHI,East,Central,Away,Loss,101,22,19,7,2,23,89,37,0.4157,56,26,0.4643,33,11,0.3333,19,16,0.8421,10,29,39,44.3182,59.4595,0.5187,0.4775,21.7391,69.0476,16.3286,6.9954,1.9987,3.5714,1.1348,59.375,49.4792,100.9331,116.9225,-15.9894,0.3776,15.9005,1.1579,36.8421,TOR,East,Atlantic,117,26,17,10,4,19,83,39,0.4699,54,26,0.4815,29,13,0.4483,28,26,0.9286,13,36,49,55.6818,66.6667,0.6137,0.5482,26.5306,73.4694,15.1353,9.9934,3.9973,7.4074,1.4096,97.75,81.4583,116.9225,100.9331,15.9894,0.4483,18.797,1.5294,58.8235
2017-10-19,Regular,TOR,East,Atlantic,Home,Win,117,26,17,10,4,19,83,39,0.4699,54,26,0.4815,29,13,0.4483,28,26,0.9286,13,36,49,55.6818,66.6667,0.6137,0.5482,30.9524,78.2609,15.1353,9.9934,3.9973,7.4074,1.4096,97.75,81.4583,116.9225,100.9331,15.9894,0.4483,18.797,1.5294,58.8235,CHI,East,Central,101,22,19,7,2,23,89,37,0.4157,56,26,0.4643,33,11,0.3333,19,16,0.8421,10,29,39,44.3182,59.4595,0.5187,0.4775,25.641,74.359,16.3286,6.9954,1.9987,3.5714,1.1348,59.375,49.4792,100.9331,116.9225,-15.9894,0.3776,15.9005,1.1579,36.8421
2017-10-19,Regular,NY,East,Atlantic,Away,Loss,84,19,26,8,4,23,79,32,0.4051,55,25,0.4545,24,7,0.2917,20,13,0.65,11,30,41,50,59.375,0.4784,0.4494,28.2051,69.7674,22.8471,7.9556,3.9778,7.2727,1.0633,44.25,36.5702,83.5336,104.417,-20.8834,0.3404,14.3072,0.7308,30.7692,OKC,West,Northwest,105,26,20,14,7,22,90,39,0.4333,52,28,0.5385,38,11,0.2895,22,16,0.7273,13,28,41,50,66.6667,0.5267,0.4944,31.7073,68.2927,16.7112,13.9223,6.9611,13.4615,1.1667,79.25,65.4959,104.417,83.5336,20.8834,0.4021,17.8473,1.3,70
2017-10-19,Regular,OKC,West,Northwest,Home,Win,105,26,20,14,7,22,90,39,0.4333,52,28,0.5385,38,11,0.2895,22,16,0.7273,13,28,41,50,66.6667,0.5267,0.4944,30.2326,71.7949,16.7112,13.9223,6.9611,13.4615,1.1667,79.25,65.4959,104.417,83.5336,20.8834,0.4021,17.8473,1.3,70,NY,East,Atlantic,84,19,26,8,4,23,79,32,0.4051,55,25,0.4545,24,7,0.2917,20,13,0.65,11,30,41,50,59.375,0.4784,0.4494,26.8293,73.1707,22.8471,7.9556,3.9778,7.2727,1.0633,44.25,36.5702,83.5336,104.417,-20.8834,0.3404,14.3072,0.7308,30.7692
2017-10-19,Regular,LAC,West,Pacific,Away,Win,108,23,15,12,3,20,107,42,0.3925,74,30,0.4054,33,12,0.3636,13,12,0.9231,17,42,59,53.1532,54.7619,0.4791,0.4486,29.8246,77.7778,11.7444,11.2243,2.8061,4.0541,1.0093,84.375,70.6067,101.0189,86.0531,14.9658,0.4,15.2601,1.5333,80,LAL,West,Pacific,92,21,20,8,7,15,91,37,0.4066,75,33,0.44,16,4,0.25,23,14,0.6087,12,40,52,46.8468,56.7568,0.4549,0.4286,23.0769,76.9231,16.5125,7.4829,6.5475,9.3333,1.011,65.625,54.4606,86.0531,101.0189,-14.9658,0.3737,14.7762,1.05,40
2017-10-19,Regular,LAL,West,Pacific,Home,Loss,92,21,20,8,7,15,91,37,0.4066,75,33,0.44,16,4,0.25,23,14,0.6087,12,40,52,46.8468,56.7568,0.4549,0.4286,22.2222,70.1754,16.5125,7.4829,6.5475,9.3333,1.011,65.625,54.4606,86.0531,101.0189,-14.9658,0.3737,14.7762,1.05,40,LAC,West,Pacific,108,23,15,12,3,20,107,42,0.3925,74,30,0.4054,33,12,0.3636,13,12,0.9231,17,42,59,53.1532,54.7619,0.4791,0.4486,28.8136,71.1864,11.7444,11.2243,2.8061,4.0541,1.0093,84.375,70.6067,101.0189,86.0531,14.9658,0.4,15.2601,1.5333,80
2017-10-20,Regular,ATL,East,Southeast,Away,Loss,91,19,13,11,4,29,95,36,0.3789,65,29,0.4462,30,7,0.2333,14,12,0.8571,6,32,38,40,52.7778,0.4498,0.4158,11.7647,72.7273,11.3875,10.4326,3.7937,6.1538,0.9579,51,42.3237,86.3057,103.3772,-17.0715,0.3529,14.2685,1.4615,84.6154,CHA,East,Southeast,109,17,21,5,4,18,86,37,0.4302,50,26,0.52,36,11,0.3056,30,24,0.8,12,45,57,60,45.9459,0.5494,0.4942,21.0526,78.9474,17.4709,4.7421,3.7937,8,1.2674,75,62.5,103.3772,86.3057,17.0715,0.3895,12.3907,0.8095,23.8095
2017-10-20,Regular,CHA,East,Southeast,Home,Win,109,17,21,5,4,18,86,37,0.4302,50,26,0.52,36,11,0.3056,30,24,0.8,12,45,57,60,45.9459,0.5494,0.4942,27.2727,88.2353,17.4709,4.7421,3.7937,8,1.2674,75,62.5,103.3772,86.3057,17.0715,0.3895,12.3907,0.8095,23.8095,ATL,East,Southeast,91,19,13,11,4,29,95,36,0.3789,65,29,0.4462,30,7,0.2333,14,12,0.8571,6,32,38,40,52.7778,0.4498,0.4158,15.7895,84.2105,11.3875,10.4326,3.7937,6.1538,0.9579,51,42.3237,86.3057,103.3772,-17.0715,0.3529,14.2685,1.4615,84.6154
2017-10-20,Regular,POR,West,Northwest,Away,Win,114,19,9,5,6,26,95,46,0.4842,76,37,0.4868,19,9,0.4737,17,13,0.7647,11,40,51,56.6667,41.3043,0.5562,0.5316,25,86.9565,8.0732,5.131,6.1572,7.8947,1.2,85.375,71.1458,116.9874,98.5157,18.4717,0.4946,14.5616,2.1111,55.5556,IND,East,Central,96,15,12,1,4,17,78,35,0.4487,60,31,0.5167,18,4,0.2222,33,22,0.6667,6,33,39,43.3333,42.8571,0.5188,0.4744,15.3846,84.6154,11.4811,1.0262,4.1048,6.6667,1.2308,55.375,46.1458,98.5157,116.9874,-18.4717,0.4167,12.5502,1.25,8.3333
2017-10-20,Regular,IND,East,Central,Home,Loss,96,15,12,1,4,17,78,35,0.4487,60,31,0.5167,18,4,0.2222,33,22,0.6667,6,33,39,43.3333,42.8571,0.5188,0.4744,13.0435,75,11.4811,1.0262,4.1048,6.6667,1.2308,55.375,46.1458,98.5157,116.9874,-18.4717,0.4167,12.5502,1.25,8.3333,POR,West,Northwest,114,19,9,5,6,26,95,46,0.4842,76,37,0.4868,19,9,0.4737,17,13,0.7647,11,40,51,56.6667,41.3043,0.5562,0.5316,21.5686,78.4314,8.0732,5.131,6.1572,7.8947,1.2,85.375,71.1458,116.9874,98.5157,18.4717,0.4946,14.5616,2.1111,55.5556
