title,metacritic,rotten_tomatoes
The Real Blonde,48,33.1
The Man in the Iron Mask,48,33.15
Tears of the Sun,48,33.2
The Odd Life of Timothy Green,48,33.25
Martian Child,48,33.3
The Sentinel,49,33.2
The Good German,49,33.25
Kidnapped,49,33.3
Off-White Lies,50,33.05
Johnny English,51,33.15
Self Medicated,51,33.2
Romeo Must Die,52,33
London Boulevard,52,33.05
Terminator Salvation,52,33.1
The Tracey Fragments,54,33
You I Love,54,33.05
The Berlin File,54,33.1
Surviving Picasso,55,33.05
Breaking and Entering,56,33
Epidemic,66,33
I Spit on Your Grave,27,34
Repo! The Genetic Opera,32,34
Miracle at St. Anna,37,34
The Edge of Love,39,34.15
But I'm a Cheerleader,39,34.2
TMNT,41,34.15
The Internship,42,34.05
Wonderland,43,34.05
The Center of the World,44,34
The Hangover Part II,44,34.05
The Weight of Water,45,34.05
Mean Machine,45,34.1
Hackers,46,34.15
3 Needles,48,34.1
Eros,51,34
Formosa Betrayed,52,34
Labor Day,52,34.05
Adam Resurrected,58,34
Where the Heart Is,30,35
The Last Time,38,35
The November Man,38,35.05
The Man Who Cried,40,35
The Slammin' Salmon,40,35.05
Vantage Point,40,35.1
Salinger,40,35.15
Horrible Bosses 2,40,35.2
The Waterboy,41,35.05
Larry Crowne,41,35.1
Abraham Lincoln: Vampire Hunter,42,35
Looking for Kitty,43,35.1
The Grace Card,43,35.15
Hostage,44,35
My Kingdom,45,35
Bootmen,45,35.05
Mona Lisa Smile,45,35.1
Levity,45,35.15
Pride and Glory,45,35.2
Elizabeth: The Golden Age,45,35.25
The Burning Plain,45,35.3
Immortals,46,35.05
Finishing the Game: The Search for a New Bruce Lee,46,35.1
Murder at 1600,47,35.05
Shark Tale,48,35.05
Gung Ho,48,35.1
Jayne Mansfield's Car,48,35.15
Clone,48,35.2
Bartleby,48,35.25
National Treasure: Book of Secrets,48,35.3
The Thing,49,35.05
New York I Love You,49,35.1
God's Pocket,51,35
The Lake House,52,35.05
Hector and the Search for Happiness,28,36
Ethan Mao,29,36
Least Among Saints,32,36
Dear Wendy,33,36.05
Family Weekend,35,36
How to Lose Friends & Alienate People,35,36.05
Returner,36,36.1
Stolen Summer,36,36.15
Gigantic,38,36.15
The Texas Chainsaw Massacre,38,36.2
Radio,38,36.25
The Truth About Emanuel,40,36
Igor,40,36.05
Saw II,40,36.1
Before I Go to Sleep,41,36.05
Vampires,42,36
The Replacement Killers,42,36.05
Transformers: Dark of the Moon,42,36.1
Rules of Engagement,45,36.05
Sydney White,45,36.1
The Situation,45,36.15
Finding Joe,45,36.2
Blue Streak,46,36.15
Pumpkin,46,36.2
Conspiracy of Silence,46,36.25
Touch of Pink,46,36.3
Reservation Road,46,36.35
If I Stay,46,36.4
Accepted,47,36
The Giver,47,36.05
The Matrix Revolutions,47,36.1
Restless,47,36.15
21,48,36.05
Sleuth,49,36.15
Prince of Persia: The Sands of Time,50,36.1
Billabong Odyssey,50,36.15
Orfeu,52,36.2
The Paranoids,52,36.25
In Too Deep,53,36.15
In Time,53,36.2
Art School Confidential,54,36
Dreaming of Joseph Lees,55,36.05
Life's a Breeze,55,36.1
Street Kings,55,36.15
Great Expectations,55,36.2
Eraser,56,36.1
Just a Sigh,58,36
Saving Shiloh,62,36
Saw VI,30,37
The Collection,36,37.05
YPF,39,37
The Other End of the Line,40,37.1
Outlander,40,37.15
Spun,41,37
From Paris with Love,42,37
Bicentennial Man,42,37.05
The Final Cut,43,37.1
Sorry Haters,43,37.15
Last Action Hero,44,37
Mad City,45,37.05
Where in the World Is Osama Bin Laden?,45,37.1
Anything But Love,47,37.1
Burlesque,47,37.15
Sordid Lives,47,37.2
Mr. Magorium's Wonder Emporium,48,37
Angels & Demons,48,37.05
The Great Raid,48,37.1
The Fifth Estate,49,37.1
The Killing of John Lennon,49,37.15
Behind Enemy Lines,49,37.2
Death of a President,49,37.25
Ice Age: Continental Drift,49,37.3
Transporter 3,51,37.05
Star Trek: Nemesis,51,37.1
A Good Woman,53,37.05
The Guardian,53,37.1
Brooklyn Brothers Beat the Best,54,37.05
Dark Shadows,55,37
Sylvia,56,37
One Man's Hero,24,38
Chinese Zodiac,29,38
Don't Tempt Me,31,38.05
Paris-Manhattan,36,38.15
A Tale of Two Pizzas,36,38.2
Dead Man Down,39,38
Swing Kids,39,38.05
Mutant Aliens,39,38.1
Here Comes the Boom,40,38.15
Insidious: Chapter 2,40,38.2
X-Men Origins: Wolverine,40,38.25
Happy Hour,40,38.3
Meet the Fockers,41,38.05
Stand Up Guys,41,38.1
Crooked Arrows,42,38.15
Three Worlds,42,38.2
Cirque du Freak: The Vampire's Assistant,43,38.2
Light It Up,43,38.25
Unknown,44,38.15
Mia and the Migoo,44,38.2
Cook County,44,38.25
Sweet Home Alabama,45,38.35
Swing Vote,47,38.1
The Skeleton Key,47,38.15
Blue Like Jazz,48,38.1
Lockout,48,38.15
Wonderful World,48,38.2
Brother Bear,48,38.25
The Over the Hill Band,49,38.05
Mystery Alaska,49,38.1
Marebito,50,38.2
Casino Jack,51,38.25
The City of Your Final Destination,52,38
Kill Your Idols,52,38.05
The Nativity Story,52,38.1
Life of a King,52,38.15
Flightplan,53,38.05
Entrapment,54,38
Touchback,56,38
Illuminata,60,38
Guys and Balls,60,38.05
Bad Company,70,38
A Life Less Ordinary,35,39.05
My Name Is Bruce,36,39
Speed Racer,37,39
The Other Woman,37,39.05
Inhale,39,39
Sahara,41,39.05
Milwaukee Minnesota,41,39.1
Armageddon,42,39
The Great Gatsby,43,39
Delivery Man,44,39.1
Henry Poole Is Here,44,39.15
Surrogates,45,39.15
A Chorus Line,46,39
Johnny English Reborn,46,39.05
Miss Julie,46,39.1
American Gun,48,39
Scoop,48,39.05
Men in Black II,49,39.15
Dark Matter,49,39.2
The Favor,49,39.25
Birth,50,39.05
Seeing Other People,51,39.05
Fear,51,39.1
Feast of Love,51,39.15
Calvaire,52,39
The Eagle,55,39
Cars 2,57,39
The Stone Angel,57,39.05
Hannibal,57,39.1
The First Wives Club,58,39
Fireproof,28,40
The Replacements,30,40
As Luck Would Have It,32,40.05
Dead or Alive: Final,34,40.2
Bollywood/Hollywood,35,40.05
Commitment,36,40.05
Bounce: Behind the Velvet Rope,36,40.1
Black Out,37,40.1
Flash Point,38,40.05
Tai Chi Hero,39,40.05
Reign of Fire,39,40.1
Falling Overnight,40,40.05
Big Daddy,41,40
Tonight You're Mine,41,40.05
Back to 1942,41,40.1
Mental,42,40.05
X Games 3D: The Movie,43,40
Anything Else,43,40.05
Hot Rod,43,40.1
Carbon Nation,44,40.05
Snow Falling on Cedars,44,40.1
Proof of Life,45,40.1
The Three Marias,45,40.15
End of the Spear,45,40.2
Kiss Me Guido,46,40.1
Bonneville,46,40.15
Newsies,46,40.2
Metropia,47,40.1
He's Just Not That Into You,47,40.15
First Comes Love,48,40.15
Henry's Crime,49,40
The Reckoning,49,40.05
Give Me Your Hand,50,40.1
Dark Skies,50,40.15
Varsity Blues,50,40.2
Letters to Juliet,50,40.25
Young Guns,50,40.3
The Island,50,40.35
The Hard Word,51,40.05
Due Date,51,40.1
Three Days of Rain,52,40.2
Can't Hardly Wait,52,40.25
The Better Angels,52,40.3
The Second Chance,52,40.35
The Big Year,53,40
Tusk,55,40.05
Winter Passing,56,40.15
The Grand,57,40
Shrek the Third,58,40
Middle Men,60,40
So Close to Paradise,61,40
The Go-Getter,69,40
The Heart Is Deceitful Above All Things,27,41
The Big Hit,31,41
Wrong Turn,32,41.1
The Battle of Shaker Heights,33,41
Celebrity,41,41.1
Police Academy,41,41.15
Parker,42,41
The Last House on the Left,42,41.05
High Tension,42,41.1
Jersey Girl,43,41.05
Second Best,44,41.05
The Ninth Gate,44,41.1
The Expendables,45,41.3
Vanilla Sky,45,41.35
Happythankyoumoreplease,45,41.4
The Sorcerer's Apprentice,46,41
Beerfest,46,41.05
Horns,46,41.1
The Next Big Thing,47,41.15
27 Dresses,47,41.2
Just Friends,47,41.25
In Secret,47,41.3
A Lot Like Love,48,41.05
Divergent,48,41.1
Big Bad Love,49,41.15
Hancock,49,41.2
The Four Feathers,49,41.25
Zhou Yu de huo che,49,41.3
Dreaming Lhasa,49,41.35
No Reservations,50,41.15
Dedication,50,41.2
Cesar Chavez,51,41.2
The Rocker,53,41
Agnes Browne,55,41
December Boys,56,41
Alila,57,41
The Beastmaster,18,42
The Majestic,27,42
Night Train to Lisbon,30,42
Swing,36,42.05
When Do We Eat?,37,42
Death to Smoochy,38,42
BASEketball,38,42.05
Homefront,40,42.05
Two Weeks Notice,42,42.05
The Taqwacores,42,42.1
The Event,42,42.15
Miss Congeniality,43,42.05
Step Up Revolution,43,42.1
This Is Where I Leave You,44,42
How to Lose a Guy in 10 Days,45,42
Love Object,45,42.05
White Nights,46,42
Beyond the Sea,46,42.05
Agnes and His Brothers,46,42.1
Wyatt Earp,47,42.05
RED 2,47,42.1
Final,48,42
300: Rise of an Empire,48,42.05
China: The Panda Adventure,49,42.15
Words and Pictures,49,42.2
Closed Circuit,50,42
Zus & zo,50,42.05
The Other Boleyn Girl,50,42.1
American Desi,50,42.15
The Golden Compass,51,42
The Face of Love,51,42.05
Bean,52,42
Gridiron Gang,52,42.05
Men at Lunch,53,42.15
Palindromes,53,42.2
One Missed Call,54,42
Don't Come Knocking,55,42.05
Waterworld,56,42.05
Midnight's Children,56,42.1
Tell Me Something,61,42
The Last September,69,42
Someone Like You...,32,43
Mother's Day,34,43
Two Can Play That Game,35,43
Evolution,40,43.15
Best Laid Plans,40,43.2
Pi?ero,40,43.25
Two Drifters,41,43.15
Bad Boys,41,43.2
Ironclad,42,43
Mariachi Gringo,42,43.05
Went to Coney Island on a Mission from God... Be Back by Five,42,43.1
Death Race,43,43
Brooklyn's Finest,43,43.05
Checking Out,44,43.05
The Village,44,43.1
Faster,44,43.15
Step Up All In,45,43.1
Berlin '36,45,43.15
Blindness,45,43.2
Mercy,46,43.05
All Over the Guy,46,43.1
Three Dancing Slaves,46,43.15
Choose Connor,46,43.2
Catfish in Black Bean Sauce,46,43.25
My Mexican Shivah,46,43.3
Who Killed Bambi?,47,43
In the Land of Women,47,43.05
The Legend of Bagger Vance,47,43.1
American Reunion,49,43.15
Tycoon: A New Russian,49,43.2
Dog Sweat,50,43.1
The Rules of Attraction,50,43.15
Escaflowne: The Movie,50,43.2
DysFunktional Family,51,43.05
The Call,51,43.1
Anger Management,52,43.1
Center Stage,52,43.15
Comet,52,43.2
Honour,53,43.1
Wasabi,53,43.15
I Will Survive,53,43.2
Robin Hood,53,43.25
To Rome with Love,54,43.1
Mousehunt,54,43.15
What We Do Is Secret,54,43.2
Cracks,54,43.25
Blue in the Face,54,43.3
Pathology,55,43
Miss Julie,55,43.05
On the Road,56,43.1
The Recruit,56,43.15
The Brave One,56,43.2
The Human Stain,57,43.05
The Children of the Century,59,43
J. Edgar,59,43.05
The Portrait of a Lady,61,43
Wrong Cops,25,44
Very Bad Things,31,44
Eight Miles High,32,44.05
Premature,34,44
Friends and Family,36,44
Beware the Gonzo,36,44.05
Brake,38,44
Eating Out 2: Sloppy Seconds,39,44
National Treasure,39,44.05
Simon Birch,39,44.1
Our Day Will Come,40,44.05
X,40,44.1
The Limits of Control,41,44.1
Girlfriend,42,44.05
Steal Me,43,44
Connie and Carla,44,44.05
The Deep End of the Ocean,45,44.1
Deliver Us from Eva,46,44.1
Grand Theft Parsons,46,44.15
Sin City: A Dame to Kill For,46,44.2
Luther,47,44.1
Albino Alligator,48,44.1
Night at the Museum,48,44.15
The Proposal,48,44.2
50 First Dates,48,44.25
The Perfect Host,48,44.3
Final Fantasy: The Spirits Within,49,44
Soul Men,49,44.05
Bad Guy,49,44.1
Cowboys & Aliens,50,44
Flawless,50,44.05
Yves Saint Laurent,51,44
La soga,51,44.05
Walk Away Renee,51,44.1
White Irish Drinkers,51,44.15
XX/XY,52,44.1
Redacted,52,44.15
Rat Race,52,44.2
Fay Grim,52,44.25
The Art of the Steal,53,44.05
Private Romeo,53,44.1
The Basket,53,44.15
Goal! The Dream Begins,53,44.2
Brooklyn Lobster,55,44.05
Take the Lead,55,44.1
The Amazing Truth About Queen Raquela,57,44.05
Casanova,57,44.1
Zig Zag,58,44
Stepmom,58,44.05
20 Centimeters,58,44.1
Alien?,59,44
The Piano Tuner of EarthQuakes,66,44
Take,22,45
Ace Ventura: Pet Detective,37,45
The Cell,40,45
Flu,40,45.05
Albatross,42,45.05
White on Rice,45,45
Cut Sleeve Boys,45,45.05
Just Looking,45,45.1
Another Happy Day,46,45.05
Rhinoceros Eyes,46,45.1
Yes Man,46,45.15
The Strangers,47,45.1
Lakeview Terrace,47,45.15
The Day After Tomorrow,47,45.2
All In: The Poker Movie,47,45.25
The Whole Nine Yards,47,45.3
Borstal Boy,47,45.35
Star Trek: The Motion Picture,48,45.1
The Thing About My Folks,48,45.15
Particles of Truth,48,45.2
Jeepers Creepers,49,45.2
30 Minutes or Less,49,45.25
Nicotina,49,45.3
Hoodlum,50,45.1
French Kiss,50,45.15
Luc_a Luc_a,51,45.15
My Mother Likes Women,51,45.2
800 Bullets,51,45.25
Ghost River,52,45.05
Absolute Power,52,45.1
The Curse of the Jade Scorpion,52,45.15
The Siege,53,45.1
Brooklyn Rules,53,45.15
Twin Dragons,54,45
The Acid House,55,45.05
Three,55,45.1
To the Wonder,58,45
Don't Trip... He Ain't Through with Me Yet,59,45.05
Nearing Grace,62,45
Billy Madison,16,46
Detroit Rock City,33,46
For Love of the Game,43,46
Wish I Was Here,43,46.05
The Caveman's Valentine,44,46
Step Up 3D,45,46.1
Close Your Eyes,45,46.15
Hoodwinked!,45,46.2
Food of Love,46,46.05
Secret Window,46,46.1
Extremely Loud & Incredibly Close,46,46.15
Greenfingers,46,46.2
Shall We Dance,47,46.1
The Other Side of the Bed,47,46.15
Janice Beard,48,46.05
Orange County,48,46.1
Modigliani,25,4.1
If I Were You,28,9
House of D,33,10.2
The Air I Breathe,37,12.1
The Tiger and the Snow,22,17.1
Twice Born,34,17.15
50 to 1,37,17.2
Grandma's Boy,33,18.15
The Life of David Gale,31,19.15
The Boondock Saints,44,20.1
My Way,30,21.1
Uncle Nino,44,21.05
The Words,37,22.1
John Q,30,23.05
Red Trousers: The Life of the Hong Kong Stuntmen,50,24
Law Abiding Citizen,34,25.3
Wicker Park,40,25.15
Appleseed,40,25.2
Lord of the Dance in 3D,40,25.25
Peaceful Warrior,40,25.3
Samehada otoko to momojiri onna,44,25.25
The Oogieloves in the Big Balloon Adventure,32,27
Wake,34,27.05
A Walk to Remember,35,27.05
Seven Pounds,36,27.2
Remember Me,40,27.15
The Magic of Belle Isle,46,28.05
Escape to Life: The Erika and Klaus Mann Story,34,29.05
The Thirteenth Floor,36,29.45
Forever Strong,37,29.1
Trade,42,29.15
Courageous,42,30.2
Love Rosie,46,30.2
The Children of Huang Shi,49,30
Underworld,42,31.2
Chasing Mavericks,45,31.2
A Touch of Spice,48,31.15
You're Not You,56,31
The Ultimate Gift,49,32.15
To Save a Life,19,33.05
The Butterfly Effect,30,33.05
The Phantom of the Opera,40,33.2
The Lady,43,33.35
Celine: Through the Eyes of the World,52,33.15
Music Within,53,33
I Trust You to Kill Me,53,33.05
I Am Sam,28,34
A Rumor of Angels,35,34
Poolhall Junkies,36,34.05
The United States of Leland,37,34.05
Suicide Kings,43,34.1
The Chumscrubber,41,35.15
Super Troopers,48,35.35
Imaginary Heroes,53,35
Memoirs of a Geisha,54,35.05
One Day,48,36.1
Left Luggage,51,36.1
The Visual Bible: The Gospel of John,52,36.3
The Lucky Ones,53,36.25
August Rush,38,37
I Am,38,37.05
Rambo,46,37.05
The Time Traveler's Wife,47,37.25
Equilibrium,33,38
Black or White,45,38.4
Before I Disappear,47,38.2
I Am David,47,38.25
One Day on Earth,52,38.2
The Little Traitor,47,39.05
Man on Fire,47,39.1
Kingdom of Heaven,63,39
Pay It Forward,40,40.1
Running Scared,41,40.15
The Bucket List,42,40.1
Habermann,46,40.25
Fleeing by Night,51,40.15
House of Fools,52,40.4
Clandestine Childhood,55,40.1
For My Father,56,40.2
Gandhi My Father,57,40.05
Manglehorn,62,40
The Keeper: The Legend of Omar Khayyam,43,41.1
The Flowers of War,46,41.15
K-PAX,49,41.4
Little White Lies,50,41.25
Men of Honor,56,41.05
Burzynski,24,42
Heleno,52,42.1
Amy,40,43.3
Waiting for Lightning,45,43.25
Latter Days,45,43.3
Ravenous,46,43.35
Revolution OS,46,43.4
A Love Song for Bobby Long,48,43.1
The Unbelievers,32,44.1
Long Live Freedom,34,44.05
Ex Drummer,36,44.1
Brain Donors,44,44.1
The Jacket,44,44.15
Love Me If You Dare,45,44.15
Bella,47,44.15
Angel-A,48,44.35
A Shine of Rainbows,52,44.3
Hotel Transylvania,47,45.4
Jane's Journey,49,45.35
Pirates of the Caribbean: At World's End,50,45.2
Ice Age: Dawn of the Dinosaurs,50,45.25
Cirque du Soleil: Journey of Man,55,45.15
The Basketball Diaries,46,46.25
Everybody's Fine,47,46.2
The Judge,48,46.3
Rent,53,46.1
Soul Surfer,53,46.15
The Book Thief,53,46.2
Bobby,54,46.05
Cashback,54,46.1
Don't Move,59,46.05
We're the Millers,44,47
Man in the Chair,44,47.05
Life as a House,45,47.1
Flavors,46,47.1
Brother,47,47.15
That's the Way I Like It,52,47.25
The First Time,55,47.15
Green Street Hooligans,55,47.2
Natural Born Killers,74,47
Stargate,42,48.05
Saw,46,48.1
La mission,47,48.25
My Sister's Keeper,51,48.25
Summer Storm,51,48.3
Shooter,53,48.3
Until the Light Takes Us,54,48.25
The Great Gatsby,55,48.15
Harsh Times,56,48.3
Towelhead,57,48.1
Dog Days,66,48
Fear and Loathing in Las Vegas,41,49
Whatever Works,45,49.05
The Passion of the Christ,47,49.1
The Bang Bang Club,48,49
The Flying Scotsman,49,49.2
Harrison's Flowers,49,49.25
We Are Marshall,53,49.15
Maleficent,56,49.15
Candy,57,49.1
Rory O'Shea Was Here,59,49.05
The Oil Factor: Behind the War on Terror,30,50
Long Distance Revolutionary: A Journey with Mumia Abu-Jamal,41,50.1
Gardens of the Night,43,50.15
South of the Border,45,50.2
Now You See Me,50,50.35
Five Dances,51,50.35
High Heels,51,50.4
DamNation,52,50.3
Legend of the Guardians: The Owls of Ga'Hoole,53,50.55
Hula Girls,53,50.6
The Secret Life of Walter Mitty,54,50.5
Desert Flower,54,50.55
The Journals of Musan,56,50.25
Danielson: A Family Movie (or Make a Joyful Noise Here),59,50.3
Drew: The Man Behind the Poster,59,50.35
The Keeping Room,62,50.05
La Vie en Rose,66,50
Meet Joe Black,43,51
Manderlay,46,51.05
Paid in Full,49,51.15
The Fountain,51,51.35
The Sea,52,51.25
Lost and Delirious,53,51.2
The Kingdom,56,51.25
Die Hard: With a Vengeance,58,51.15
The Bubble,61,51.1
The Lost Skeleton of Cadavra,45,52.1
First Descent,51,52.1
The Devil's Double,52,52.2
The Next Three Days,52,52.25
Angela's Ashes,54,52
NOW: In the Wings on a World Stage,55,52.1
Perfect Sense,55,52.15
What's Cooking?,57,52.25
I Origins,57,52.3
Where Do We Go Now?,60,52.05
Smiling Fish & Goat on Fire,44,53.05
Bounce Ko Gals,45,53.15
My First Mister,48,53.25
An Unfinished Life,49,53.3
Km. 0 - Kilometer Zero,51,53.3
The Amazing Spider-Man 2,53,53.1
Jersey Boys,54,53.35
Agora,55,53.25
Across the Universe,56,53.05
The Grandfather,57,53.2
Faster,57,53.25
Love Liza,58,53.1
Steep,58,53.15
Gray's Anatomy,60,53.05
The Rage in Placid Lake,63,53.15
Kicking and Screaming,75,53
Salt of This Sea,43,54
What Dreams May Come,44,54.1
Bully,45,54.1
Hesher,45,54.15
Spaceballs,46,54.05
Payback,46,54.1
Gypsy 83,47,54.25
Girl Interrupted,51,54.1
The Protector,52,54.2
Pirates of the Caribbean: Dead Man's Chest,53,54.05
Enemy at the Gates,53,54.1
Oblivion,54,54.15
Mirrormask,55,54.25
Troy,56,54.1
Sympathy for Mr. Vengeance,56,54.15
Body of Lies,57,54.15
Everybody's Famous!,60,54
The Girl Who Kicked the Hornets' Nest,60,54.05
The Doors,62,54.15
Farmageddon,62,54.2
Home Alone,63,54.05
Mallrats,41,55
Orphan,42,55.05
Home Room,43,55.05
Blade,45,55.1
Mr. Brooks,45,55.15
Flipped,45,55.2
Her Majesty,46,55.05
The Mummy,48,55.2
The Sicilian Girl,48,55.25
People Like Us,49,55.05
Welcome to the Rileys,50,55.1
How Much Does Your Building Weigh Mr Foster?,51,55.05
Blow,52,55.05
Elsa & Fred,52,55.1
Mal?na,54,55.1
The Conspirator,55,55.45
Man of Steel,55,55.5
Mao's Last Dancer,55,55.55
Lords of Dogtown,56,55.2
Shake Hands with the Devil,57,55.3
Deja Vu,59,55.15
Jin-Roh: The Wolf Brigade,59,55.2
Arakimentari,61,55.15
No Regret,48,56.15
The Best Offer,49,56.1
Charlie Bartlett,54,56.2
Fulltime Killer,54,56.25
Instructions Not Included,55,56.05
Fuck,58,56.25
9,60,56.2
Finding Fela!,64,56.1
Velvet Goldmine,65,56
A Mother's Courage: Talking Back to Autism,76,56
Trailer Park Boys: The Movie,38,57
Kai po che!,40,57.05
Ayurveda: Art of Being,45,57.05
Pitch Black,49,57.2
Summer in Berlin,50,57.1
Cowboys & Angels,51,57.05
Captain Pantoja and the Special Services,51,57.1
Irreversible,51,57.15
Detachment,52,57.15
Dead Man's Shoes,52,57.2
Becoming Jane,55,57.35
Perlasca: The Courage of a Just Man,56,57.15
Kinky Boots,57,57.2
Special,57,57.25
Defiance,58,57.25
The Prize Winner of Defiance Ohio,58,57.3
Breakfast on Pluto,59,57.1
WMD: Weapons of Mass Deception,60,57.1
Rank,63,57.05
Reaching for the Moon,44,58
La Rafle,49,58.05
Stuck in Love,49,58.1
Bhopal: A Prayer for Rain,50,58.1
Taken,50,58.15
The Hudsucker Proxy,53,58.4
Perfume: The Story of a Murderer,56,58.1
The Sea Is Watching,57,58.05
The Secret Life of Bees,57,58.1
It's Kind of a Funny Story,63,58.15
The Luzhin Defence,64,58.1
Shelter,66,58
Somewhere in Time,29,59
How to Kill Your Neighbor's Dog,40,59
Schizopolis,44,59.1
Mind the Gap,46,59.05
Secondhand Lions,52,59.25
Human Traffic,53,59.15
RocknRolla,53,59.2
Phoebe in Wonderland,56,59.15
The First Grader,56,59.2
Flash of Genius,57,59.05
Skins,57,59.1
Mandela: Long Walk to Freedom,60,59.15
Kumar?,60,59.2
The Fall,64,59.1
Love Songs,70,59
Bliss,71,59
I'm the One That I Want,81,59
Paa,30,60
Happy Gilmore,31,60
Vincent Wants to Sea,39,60
Way Off Broadway,44,60
Sherlock Holmes: A Game of Shadows,48,60.05
300,51,60.1
Water for Elephants,52,60.1
Lost Highway,52,60.15
That's What I Am,53,60.1
Old School,54,60.35
Still the Water,55,60.2
Hugh Hefner: Playboy Activist and Rebel,55,60.25
Plastic Planet,55,60.3
Non-Stop,56,60.25
Real Steel,56,60.3
The Grand Seduction,57,60.15
The Gift to Stalin,57,60.2
Madame Sat?,59,60.15
Dust to Glory,61,60.25
Shinjuku Incident,63,60.1
Arctic Tale,64,60.1
Favela Rising,65,60.2
71 Fragments of a Chronology of Chance,67,60.1
The Unknown Soldier,71,60
Twin Peaks: Fire Walk with Me,28,61
Jack Reacher,50,61.05
Valentin,52,61.15
Seven Years in Tibet,55,61.15
The Terminal,55,61.2
Million Dollar Arm,56,61.1
Crank,57,61.1
The Equalizer,57,61.15
Forks Over Knives,57,61.2
American Pie,58,61
NASCAR: The IMAX Experience,58,61.05
Jarhead,58,61.1
Swimming Upstream,58,61.15
The Express,58,61.2
Pirate Radio,58,61.25
Felon,58,61.3
The Reader,58,61.35
Interview with the Vampire: The Vampire Chronicles,59,61.1
Mission: Impossible,60,61
The Concert,60,61.05
Nina's Tragedies,61,61.05
The Dreamers,62,61.25
Lord of War,62,61.3
Find Me Guilty,65,61
10 Things I Hate About You,70,61
Clue,36,62
Underdogs,38,62
The Salton Sea,41,62.05
Love Marilyn,51,62.05
Zizek!,51,62.1
Nicky's Family,52,62.05
Desperado,55,62.2
The Doors: When You're Strange,55,62.25
Valkyrie,56,62
Filth,56,62.05
Dark Blue World,56,62.1
Kamikaze Girls,56,62.15
Brothers,58,62
Cube,61,62.15
Dandelion,62,62.15
The Patriot,63,62.15
The Disappearance of Eleanor Rigby: Him,63,62.2
Lymelife,64,62.1
Vengo,64,62.15
Identity,64,62.2
Arlington Road,65,62.1
Enlightenment Guaranteed,68,62.05
Etoiles: Dancers of the Paris Opera Ballet,68,62.1
The Lottery,72,62
UHF,32,63
The Big Blue,35,63
Protektor,49,63.05
Kill the Irishman,50,63.15
SLC Punk!,50,63.2
The Broken Hearts Club: A Romantic Comedy,51,63
Holly,51,63.05
Starship Troopers,51,63.1
Broadway Idiot,51,63.15
Saint Ralph,51,63.2
You'll Get Over It,52,63.2
From Dusk Till Dawn,52,63.25
Linsanity,52,63.3
Rudderless,52,63.35
Marley & Me,53,63.25
High Tech Low Life,53,63.3
Broken,53,63.35
Caf? de Flore,53,63.4
Magnifico,53,63.45
Anton Corbijn Inside Out,54,63.15
The Green Butchers,54,63.2
8: The Mormon Proposition,55,63.35
The Greatest Game Ever Played,55,63.4
Love Actually,55,63.45
The Boy in the Striped Pajamas,55,63.5
The Maze Runner,56,63.3
Man on the Moon,58,63.2
Kim Jong-Il's Comedy Club,58,63.25
Traitor,60,63
Magical Universe,60,63.05
Unknown Pleasures,61,63.25
Ladies in Lavender,61,63.3
Beijing Bicycle,61,63.35
Lipstick & Dynamite Piss & Vinegar: The First Ladies of Wrestling,62,63.3
Contact,62,63.35
Changeling,63,63.3
Chocolat,64,63.1
We Were Soldiers,65,63.2
Clerks II,65,63.25
Another Earth,66,63.05
Jackass Number Two,66,63.1
Funny Games,69,63
Wonderland,71,63.05
Miss Minoes,50,64.2
Ichi the Killer,50,64.25
The Human Scale,50,64.3
All My Loved Ones,50,64.35
All the Little Animals,51,64.2
Wild at Heart,52,64.25
Pandora's Promise,54,64.4
Evelyn,55,64.2
Harry Brown,55,64.25
Facing Windows,55,64.3
Jackass 3D,56,64.1
Adam,56,64.15
Unfinished Song,57,64.2
Back to the Future Part II,57,64.25
August: Osage County,58,64.2
Biutiful,58,64.25
New World,58,64.3
Heights,59,64.35
Beautiful Losers,59,64.4
Time and Tide,60,64.1
Secretariat,61,64.25
Where God Left His Shoes,61,64.3
Reign Over Me,61,64.35
Cowboy Bebop: The Movie,61,64.4
Train of Life,62,64.25
Things We Lost in the Fire,63,64.15
Vitus,63,64.2
The Dancer Upstairs,64,64.05
Ghost in the Shell 2: Innocence,66,64.15
Starbuck,49,65.1
Thor: The Dark World,54,65.05
Rounders,54,65.1
The Last Samurai,55,65.1
Watchmen,56,65.2
Dog Pound,57,65.3
Antibodies,57,65.35
Bread and Roses,57,65.4
Coach Carter,57,65.45
Unleashed,58,65.15
Big Eden,59,65
Resurrect Dead: The Mystery of the Toynbee Tiles,60,65.35
The Music Never Stopped,60,65.4
Wondrous Oblivion,61,65.15
Est - Ouest,61,65.2
The Universe of Keith Haring,61,65.25
The Kite Runner,61,65.3
If I Want to Whistle I Whistle,64,65.15
Coffee and Cigarettes,65,65.15
Patti Smith: Dream of Life,66,65.2
Cremaster 3,67,65.05
Apocalypto,68,65
The Warlords,70,65
Tosca,70,65.05
Trilogy: The Weeping Meadow,73,65
Scrooged,38,66
The Outsiders,38,66.05
Dumb & Dumber,41,66
The Man Who Copied,49,66
Labyrinth,50,66
Black Snake Moan,52,66.15
The Women on the 6th Floor,52,66.2
The Blind Side,53,66
Snow Cake,54,66
Cloud Atlas,55,66.2
The Unknown Woman,56,66.2
Miss Potter,57,66.1
We Bought a Zoo,58,66.1
The Bridge,58,66.15
