title,metacritic,rotten_tomatoes
We the Party,48,28
Ishtar,52,28
Mail Order Bride,9,29
Bad Johnson,25,29
Cabin Fever: Patient Zero,28,29
Pornography,31,29
The Era of Vampires,33,29.05
Ex-Girlfriends,37,29
Irene in Time,39,29
The Virginity Hit,40,29
Twixt,40,29.05
Last Weekend,40,29.1
24 Exposures,42,29
Hellbenders,43,29
Coming Soon,46,29
Scooby-Doo,35,30
The Animal,43,30
Madea Goes to Jail,50,30
Bitch Slap,19,31
102 Dalmatians,35,31
While She Was Out,40,31.05
Unaccompanied Minors,43,31
When Will I Be Loved,39,32
The Gospel,46,32
Seed of Chucky,46,32.05
Severed Ways: The Norse Discovery of America,51,32
Ice from the Sun,21,33
Default,34,33.05
Drones,47,33
Benji: Off the Leash!,49,33
Harvard Man,49,33.05
Mad Cowgirl,51,33
The Truth About Charlie,55,33
Drama/Mex,65,33
Space Chimps,36,34
DOA: Dead or Alive,38,34
Hell Baby,41,34
Lottery Ticket,50,34
The Victim,11,35
Aftershock,39,35
The ABCs of Death,43,35
Ghost Team One,21,36
The Hot Flashes,36,36
Descent,45,36
Hollywood Dreams,52,36
Musical Chairs,46,37
Psycho,47,37
Le divorce,51,37
The Perfect Sleep,27,38
They,31,38
Lansdown,34,38
Smother,36,38
Anaconda,37,38
Dark Tourist,40,38
Hey Happy!,43,38
Zombie Strippers!,45,38
Madea's Big Happy Family,45,38.05
Full Frontal,45,38.1
The Oregonian,46,38
Hotel,47,38
Legally Blonde 2: Red White & Blonde,47,38.05
Naked Ambition: An R Rated Look at an X Rated Industry,50,38
V/H/S: Viral,31,39
Sex with Strangers,44,39
Maid in Manhattan,45,39
The Rambler,32,40
Repo Chick,33,40
Missionary,48,40
Seamless,52,40
A Hole in My Heart,32,41
Herbie Fully Loaded,47,41
Dr. Dolittle 2,49,42
The Adventures of Rocky & Bullwinkle,36,43
Ong-bak 3,38,43
Camera Obscura,39,43.05
Nowhere Man,41,43
Sal,41,43.05
Charlie's Angels: Full Throttle,48,43
Bad Kids Go to Hell,46,44
Hannah Montana: The Movie,47,44
Yellowbrickroad,52,44
The Big Question,53,44
Shorts,53,45
Spy Kids 3-D: Game Over,57,45
The Sleepwalker,57,45.05
The Amati Girls,29,46
Almost Human,40,47
Aftermath,40,47.05
Death of a Dynasty,41,47
War Story,50,47
Postman Pat: The Movie,44,48
Black Rock,46,48
Black Nativity,48,48
Macbeth,51,48
4:44 Last Day on Earth,54,48
The Human Centipede (First Sequence),33,49
The Twilight Saga: Eclipse,58,49
The Remaining,38,50
Godspeed,42,50
Helena from the Wedding,49,50
Vanishing on 7th Street,50,50
Over the GW,53,50
Lucky Bastard,36,52
Cleopatra's Second Husband,43,52
Come Out and Play,44,53
The Roost,62,53
El leyton,45,55
In the Land of Blood and Honey,56,55
The Big Ask,41,56
Nightmare Man,46,56
Some Girl(s),48,56
Dr. T and the Women,64,57
Wendigo,63,58
Red Hook Summer,48,59
American Animal,52,59
Tales of Erotica,24,60
Nurse 3D,29,60
H?tel Normandy,36,60
Breakup at a Wedding,50,60
Cthulhu,41,62
One Direction: This Is Us,49,63
Union Square,55,63.05
You Wont Miss Me,41,64
American Cannibal,44,64
41255,54,64
Space Station 76,49,65
High School Musical 3: Senior Year,57,65
Desperate Acts of Magic,43,67
Fonzy,55,67
Les coquillettes,58,67
The Happy Sad,49,69
Room,64,69
Loves Her Gun,51,71
Dark Touch,64,73
Modus Operandi,57,75
Ra.One,60,79
Zombie Honeymoon,63,82
Hava Nagila: The Movie,59,89
LOL,63,100
The Visitor,65,100
Strange Wilderness,12,0
The Killing Jar,14,0
Into the Fire,19,0.1
Homecoming,21,0.05
Reach Me,21,0.1
An Invisible Sign,23,0.1
Caffeine,23,0.15
Line of Duty,24,0.25
Nola,26,0.15
Angels with Angles,26,0.2
Echelon Conspiracy,26,0.25
A Thousand Words,26,0.3
Kalamity,28,0
Trade of Innocents,29,0
The Condemned,29,0.05
Vacationland,30,0.1
Cover,30,0.15
Reuniting the Rubins,31,0
The Perfect Age of Rock 'n' Roll,31,0.05
War of the Worlds: Goliath,33,0
Kiss Me Again,34,0
Sexual Chronicles of a French Family,34,0.05
Nesting,34,0.1
Lotus Eaters,36,0
Days and Nights,36,0.05
Father of Invention,36,0.1
The Blackout,37,0
Catch Hell,39,0
Four Lovers,39,0.05
Twisted,26,1
One for the Money,22,2.05
Texas Rangers,29,2
Deuces Wild,16,3.05
Bless the Child,17,3.05
The Covenant,19,3
Twelve,22,3.1
I Frankenstein,30,3
Deal,35,3
Darkness,15,4.1
Serving Sara,18,4.1
The Whole Ten Yards,24,4.05
Abduction,25,4
The Bridge of San Luis Rey,25,4.05
Problem Child,27,4.05
Playing for Keeps,27,4.1
The Garden of Eden,28,4.1
Virginia,33,4.05
Miss March,7,5
Cocktail,12,5.1
New Best Friend,13,5
Silent Hill: Revelation 3D,15,5.15
88 Minutes,17,5.05
Old Dogs,19,5
Good Luck Chuck,19,5.05
Christmas with the Kranks,22,5.15
Because I Said So,26,5
Atlas Shrugged II: The Strike,26,5.05
Hick,28,5
Harry + Max,31,5
Paranoia,32,5
Thr3e,34,5
Revenge of the Green Dragons,36,5
The Tortured,9,6
Evidence,14,6
Babylon A.D.,26,6.05
Pavilion of Women,26,6.1
The Perfect Man,27,6
Full of It,33,6
Cheaper by the Dozen 2,34,6.05
Dream House,35,6
Senseless,36,6
Yours Mine & Ours,38,6
Mixed Nuts,14,7.05
All's Faire in Love,17,7.05
Surviving Christmas,19,7.1
Grown Ups 2,19,7.15
Jawbreaker,22,7.05
New Year's Eve,22,7.1
The New Guy,24,7
License to Wed,25,7.05
Maladies,28,7.05
The Big Wedding,28,7.1
Daltry Calhoun,30,7
An American Werewolf in Paris,31,7.05
The Forsaken,35,7
Beyond a Reasonable Doubt,35,7.05
Shutter,37,7
Are You Here,37,7.05
Just Like a Woman,39,7
Silk,39,7.05
America: Imagine the World Without Her,15,8
See No Evil,17,8.15
Cavemen,19,8
The Stroller Strategy,20,8
The Order,21,8.05
Crazy on the Outside,21,8.1
Spy Hard,25,8
Savannah,25,8.05
The Reunion,26,8
Memory,26,8.05
Dirty Deeds,28,8
Premonition,29,8.1
White Noise,30,8.05
Grind,30,8.1
Dylan Dog: Dead of Night,31,8.1
A Dark Truth,31,8.15
Gray Matters,31,8.2
The Skeptic,31,8.25
Addicted,32,8
10000 BC,34,8
Java Heat,35,8
Post Grad,35,8.05
Diana,35,8.1
The Host,35,8.15
Runner Runner,36,8.05
The Reaping,36,8.1
It Takes Two,45,8
Someday This Pain Will Be Useful to You,20,9.05
Grace of Monaco,21,9.1
Stay Alive,24,9.1
Bangkok Dangerous,24,9.15
The Skulls,24,9.2
Saw 3D: The Final Chapter,24,9.25
Stealing Harvard,25,9.1
Everybody Wants to Be Italian,26,9
When a Stranger Calls,27,9.1
Answers to Nothing,29,9.05
The Postman,29,9.1
Vampire Academy,30,9.05
The Bachelor,31,9
Transfixed,34,9.05
My Life in Ruins,34,9.1
Man of the House,35,9
Weekender,35,9.05
Slackers,12,10
Beverly Hills Cop III,16,10
A Haunted House,20,10.05
The Angriest Man in Brooklyn,21,10.05
The Watcher,22,10
Knucklehead,24,10.05
Bride Wars,24,10.1
The Family Tree,24,10.15
Hell Ride,25,10
Killing Season,25,10.05
No Good Deed,26,10.05
Head Over Heels,27,10.15
Little Fockers,27,10.2
The Bag Man,28,10
Season of the Witch,28,10.05
Red Riding Hood,29,10
House at the End of the Street,31,10
Garden Party,31,10.05
Cassadaga,32,10
I Dreamed of Africa,33,10.15
?on Flux,36,10
Trespass,37,10
What's the Worst That Could Happen?,37,10.05
Bad Company,37,10.1
Annapolis,37,10.15
The Nut Job,37,10.2
One Fall,38,10
Ed Gein,42,10
Back in the Day,7,11
8 Heads in a Duffel Bag,15,11
The First $20 Million Is Always the Hardest,20,11.15
Joe Dirt,20,11.2
Killers,21,11.1
The Ladies Man,22,11
Couples Retreat,23,11
The Benchwarmers,25,11.1
A Cinderella Story,25,11.15
Atlas Shrugged: Part I,28,11.05
Boys and Girls,29,11
Pathfinder,29,11.05
Fool's Gold,29,11.1
